divorces;density;fem;violence;alcoholism;drugs;funemployed;munemplyed;salary;c_criminal;c_economic;c_life
294;1;111;44;441;27;2088;2204;4378,56;1570;376;65
39;0;106;7;75;5;434;366;3385,89;282;43;6
1095;1;119;92;962;116;9685;9566;4779,47;10856;2666;425
117;1;114;15;126;8;807;1098;3765,37;1153;293;53
109;1;109;82;157;11;404;578;3963,58;639;119;14
134;1;103;38;149;1;732;1131;4003,85;1337;4856;32
89;1;102;63;91;1;709;1203;3690,17;1815;1074;24
195;1;107;53;269;5;1438;1865;4208,19;3055;1169;86
50;1;101;35;87;0;1074;1476;3794,6;512;77;17
121;1;102;77;184;2;832;1646;3594,66;1510;248;30
362;1;104;38;270;3;2119;2400;5248,76;2220;691;90
100;1;100;95;147;1;1598;2600;3647,39;737;421;30
47;0;103;52;91;1;432;513;3698,91;446;45;16
124;1;102;35;99;2;596;716;4015,38;923;162;35
157;1;101;69;159;1;1990;4164;3681,5;1176;1644;72
189;1;104;49;179;2;2056;1980;3714,71;1430;284;69
156;1;106;23;125;7;1553;1916;4436,66;1063;421;41
209;1;106;193;218;12;1091;1809;4311,8;2081;704;61
44;1;103;6;52;0;608;531;3884,93;185;75;13
68;1;102;25;205;1;680;880;3956,37;526;154;23
197;1;102;71;152;0;1815;3273;3511,79;898;1343;33
93;1;107;19;106;3;1578;1202;4190,35;969;2192;61
192;1;104;59;369;9;1290;1870;3761,99;1152;932;43
179;1;105;21;116;7;927;1294;4474,3;1100;329;33
1367;1;114;90;882;61;5507;5960;5368,39;13797;2956;292
119;1;109;15;109;7;604;898;3860,88;2376;1020;26
195;1;112;32;261;6;1103;1830;4161,78;2706;4927;63
42;0;98;3;24;1;588;491;3924,35;297;41;11
140;0;103;155;279;13;1578;1800;4466,27;918;782;28
98;0;101;41;156;6;2189;1713;4150,96;1039;120;35
75;0;105;9;44;6;1096;1428;3876,1;382;70;15
169;1;109;34;181;20;437;609;4978,59;1197;350;22
170;0;103;18;164;2;435;518;4584,7;1189;286;46
83;0;101;12;128;1;1166;1468;5488,52;575;114;32
354;1;107;20;164;10;1122;1209;4433,54;1554;367;37
37;0;101;35;90;0;816;781;3869,6;274;41;14
27;0;101;27;63;2;405;474;3800,57;253;76;11
63;0;100;17;50;4;1584;1435;3789,6;398;108;11
207;1;105;35;288;11;1171;1383;4084,49;1593;288;52
110;0;104;144;174;6;701;1026;3811,03;694;131;48
133;1;105;38;106;7;879;1022;5486,64;1159;230;41
117;0;97;23;109;3;1566;1756;4031,87;476;111;30
110;0;102;90;62;0;1064;1414;4020,31;660;210;24
173;1;109;45;210;17;1059;949;4503,3;1352;244;41
376;1;109;23;132;17;1806;1681;4739,75;2406;476;53
157;0;102;19;163;2;1692;2646;4001,91;699;341;27
150;0;103;27;101;2;1585;2037;4117,68;915;1202;21
354;1;110;17;206;11;1230;1311;5757,06;2007;384;38
64;0;100;48;80;2;885;1142;4025,27;626;127;10
30;0;101;6;39;1;1871;1644;3794,1;476;282;24
72;0;102;2;97;2;1280;1275;3838,23;652;138;30
177;0;101;20;289;3;4687;4802;3687,64;1215;175;52
68;0;99;39;249;4;779;950;3709,87;434;198;20
93;0;103;17;109;4;1317;1789;3980,58;558;140;14
157;1;105;12;145;4;1005;1079;4629,4;931;333;33
64;0;102;20;108;2;653;673;3992,8;577;130;20
57;0;100;6;91;0;1752;1789;3610,92;291;46;10
176;1;108;11;147;13;673;567;5375,27;1327;297;21
83;0;100;23;242;7;709;915;3978,57;558;91;23
425;1;107;108;317;27;2987;2964;4472,81;3628;2820;98
126;0;102;17;102;4;562;765;3908,9;621;297;31
36;0;101;4;43;1;802;786;4026,66;342;459;11
30;0;103;14;9;1;1107;1373;3576,47;289;33;13
150;1;109;10;68;13;1423;1342;4535,22;1227;499;35
119;1;109;48;251;21;1048;1254;4832,05;801;1415;38
301;1;112;23;294;32;1667;2602;5705,32;1318;310;53
379;1;111;2;336;6;5581;5542;4388,04;3718;992;87
143;1;111;16;183;16;808;994;4364,06;974;667;99
3594;1;117;610;1795;410;9675;9707;6432,78;35618;8531;839
151;1;105;15;155;11;999;1480;4227,04;1363;312;79
66;0;105;20;86;3;601;871;3924,49;363;95;12
165;1;107;135;187;10;1024;1681;4928,19;894;253;48
96;0;105;17;111;8;577;984;4159,52;686;176;41
95;1;107;13;143;5;476;959;4858,78;636;196;31
67;0;105;7;52;2;381;645;4176,14;384;191;16
203;1;106;36;306;24;1511;1739;3875,88;1898;540;96
86;0;105;8;106;4;355;672;3827,13;604;167;16
161;0;107;22;113;2;951;1275;4018,89;830;514;36
80;0;108;26;96;2;747;908;3847,86;830;150;37
90;0;105;22;113;2;508;765;4049,69;843;104;56
250;1;112;24;65;12;1186;1368;4797,19;2337;487;83
28;0;103;4;24;1;549;626;3972,47;192;27;12
60;1;102;62;81;1;2026;2389;3714,87;294;80;22
123;1;102;37;159;1;1216;2236;3965,7;1099;319;39
143;1;105;38;113;1;3091;3460;3958,11;907;197;47
114;1;103;57;215;0;2001;3178;3813,37;555;369;41
45;0;101;43;120;1;966;1006;3611,09;291;107;21
136;1;103;26;228;0;997;1190;3498,74;582;373;35
64;1;102;27;172;12;1792;1894;3843,24;516;81;25
68;0;101;20;142;1;1072;1053;3640,18;478;62;18
66;1;104;19;90;4;1701;1781;3621,06;415;127;23
168;1;103;37;127;1;1230;1665;4289,29;917;202;40
70;0;102;91;199;1;1807;2061;3475,1;412;88;30
78;0;99;44;141;1;1775;1916;3582,09;381;104;20
72;1;103;54;107;3;1779;2306;3622,54;413;230;12
63;1;102;12;71;1;1474;1952;3898,22;310;115;24
150;1;103;47;206;2;3074;3331;3979,24;713;254;30
117;0;104;28;162;11;1341;1481;3874,15;833;253;62
151;1;106;56;375;6;1042;1375;4272,16;1026;204;61
59;1;102;21;76;0;1734;1996;3459,69;214;324;22
63;1;103;71;178;4;639;887;4150,05;420;47;20
30;0;102;43;61;1;988;935;4172,71;232;292;14
86;1;112;11;236;4;374;415;3875,04;447;319;29
136;1;113;33;92;3;1429;1659;3828,38;719;167;39
297;1;111;44;181;14;3113;3458;4802,41;1926;784;93
90;1;109;99;70;4;699;774;3808,19;509;103;27
103;0;104;13;140;4;1185;972;4262,39;508;203;37
185;0;103;89;239;15;2364;2055;3923,93;900;180;58
49;0;102;8;94;3;643;667;4953,29;372;123;24
70;0;101;19;47;0;1157;1232;4556,32;235;93;17
56;0;106;5;65;0;733;564;4389,58;358;32;30
39;0;100;20;34;0;1234;1055;3859,5;190;35;11
62;0;98;15;48;2;642;719;4368,68;271;41;15
31;0;101;10;82;5;598;539;3933,72;215;40;24
39;0;100;3;36;3;656;434;4092,18;166;37;17
46;0;103;32;118;9;642;547;3773,68;271;67;15
65;0;102;30;98;2;1767;1278;3951,21;634;108;28
36;0;96;8;74;2;279;295;3762,5;209;39;7
68;0;98;4;64;1;922;645;4416,09;290;392;19
63;0;102;12;31;8;630;727;4196,08;402;80;22
553;1;113;42;281;32;4147;3854;4396,32;3294;2257;221
132;1;110;8;25;5;963;1099;4056,02;643;164;36
149;1;109;7;162;21;700;842;4006,38;1025;274;65
106;0;101;21;332;6;1038;1869;4214,69;1017;114;34
